,TIME,POSICAO,NOME,PONTUACAO,RODADA,G,A,FT,FD,FF,FS,SG,DS,DE,DP,PS,PP,PC,PI,I,GC,GS,FC,CV,CA,ADVERSARIO,CASA,FORA
0,Atlético-MG,Meia,Zaracho,2.6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Corinthians,0,1
1,Atlético-MG,Meia,Igor Gomes,1.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Corinthians,0,1
2,Fortaleza,Meia,Pedro Augusto,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
3,Corinthians,Atacante,Yuri Alberto,1.3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,1,Atlético-MG,1,0
4,Vitória,Lateral,Lucas Esteves,-1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,Palmeiras,1,0
5,Bragantino,Zagueiro,Luan Cândido,0.1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,Fluminense,0,1
6,Atlético-GO,Atacante,Derek,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,1,0
7,Botafogo,Atacante,Júnior Santos,6.8,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Cruzeiro,0,1
8,Fluminense,Lateral,Guga,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bragantino,1,0
9,Atlético-GO,Meia,Rhaldney,1.6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Flamengo,1,0
10,Vitória,Atacante,Alerrandro,3.0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Palmeiras,1,0
11,Cuiabá,Lateral,Railan,2.8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Athlético-PR,0,1
12,Corinthians,Lateral,Matheuzinho,4.2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,Atlético-MG,1,0
13,São Paulo,Zagueiro,Diego Costa,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
14,Criciúma,Lateral,Claudinho,6.0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,1,0
15,Bragantino,Atacante,Vitinho,13.0,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Fluminense,0,1
16,Fortaleza,Zagueiro,Brítez,0.8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,São Paulo,0,1
17,Botafogo,Zagueiro,Lucas Halter,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Cruzeiro,0,1
18,Athlético-PR,Atacante,Mastriani,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
19,Juventude,Meia,Thiaguinho,1.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Criciúma,0,1
20,Athlético-PR,Atacante,Julimar,8.3,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,Cuiabá,1,0
21,Cruzeiro,Goleiro,Anderson,-1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Botafogo,1,0
22,Athlético-PR,Atacante,Canobbio,17.9,1,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
23,Bragantino,Atacante,Laquintana,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
24,Bragantino,Meia,Eric Ramires,4.3,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,Fluminense,0,1
25,Athlético-PR,Zagueiro,Kaíque Rocha,8.8,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
26,Bragantino,Meia,Jadsom Silva,-1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Fluminense,0,1
27,Cruzeiro,Atacante,Gabriel Veron,-0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Botafogo,1,0
28,Palmeiras,Meia,Gabriel Menino,3.9,1,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Vitória,0,1
29,Criciúma,Meia,Higor Meritão,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,1,0
30,Vitória,Goleiro,Lucas Arcanjo,2.5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Palmeiras,1,0
31,Vasco,Zagueiro,João Victor,1.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,Grêmio,1,0
32,Atlético-GO,Zagueiro,Adriano Martins,1.1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Flamengo,1,0
33,Juventude,Lateral,João Lucas,1.6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Criciúma,0,1
34,Vitória,Meia,Dudu,3.6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
35,Bragantino,Goleiro,Fabrício,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
36,Fortaleza,Atacante,Moisés,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
37,Fortaleza,Técnico,Juan Vojvoda,6.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
38,Athlético-PR,Lateral,Leo Godoy,12.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Cuiabá,1,0
39,Vitória,Zagueiro,Wagner Leonardo,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
40,Cruzeiro,Zagueiro,João Marcelo,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
41,Athlético-PR,Goleiro,Bento,6.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
42,São Paulo,Zagueiro,Ferraresi,2.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
43,Cuiabá,Lateral,Rikelme,1.7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
44,Fortaleza,Atacante,Lucero,6.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,São Paulo,0,1
45,Vasco,Lateral,Lucas Piton,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Grêmio,1,0
46,Palmeiras,Meia,Maurício,4.8,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,Vitória,0,1
47,Internacional,Atacante,Wesley,9.4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Bahia,1,0
48,Internacional,Goleiro,Rochet,2.5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Bahia,1,0
49,São Paulo,Técnico,Thiago Carpini,3.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
50,Bragantino,Goleiro,Lucão,2.0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Fluminense,0,1
51,Internacional,Meia,Bruno Gomes,0.1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Bahia,1,0
52,Bahia,Meia,Caio Alexandre,4.1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Internacional,0,1
53,São Paulo,Meia,Rodrigo Nestor,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fortaleza,1,0
54,Bahia,Lateral,Luciano Juba,2.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
55,Palmeiras,Meia,Richard Ríos,9.6,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,Vitória,0,1
56,Botafogo,Atacante,Jeffinho,2.5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Cruzeiro,0,1
57,São Paulo,Meia,Michel Araújo,4.3,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
58,Cuiabá,Meia,Max,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
59,Palmeiras,Lateral,Vanderlan,5.2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,Vitória,0,1
60,Juventude,Atacante,Marcelinho,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criciúma,0,1
61,Athlético-PR,Meia,Zé Vitor,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
62,Fluminense,Meia,André,-0.6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Bragantino,1,0
63,Corinthians,Lateral,Hugo,6.2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,Atlético-MG,1,0
64,Corinthians,Meia,Fausto Vera,-0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Atlético-MG,1,0
65,Cuiabá,Atacante,Isidro Pitta,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
66,Botafogo,Atacante,Luiz Henrique,1.8,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,0,1
67,Fluminense,Meia,Martinelli,1.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
68,Botafogo,Lateral,Hugo,4.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cruzeiro,0,1
69,Palmeiras,Atacante,Lázaro,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
70,Palmeiras,Técnico,Abel Ferreira,7.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
71,Fortaleza,Atacante,Machuca,8.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo,0,1
72,Athlético-PR,Lateral,Esquivel,9.5,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,Cuiabá,1,0
73,Bragantino,Lateral,Andrés Hurtado,4.8,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
74,Fluminense,Atacante,John Kennedy,3.0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
75,Bahia,Atacante,Biel,8.9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Internacional,0,1
76,Bragantino,Lateral,Guilherme Lopes,1.6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
77,Atlético-GO,Zagueiro,Alix Vinicius,-2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Flamengo,1,0
78,Grêmio,Zagueiro,Gustavo Martins,8.7,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
79,Cuiabá,Técnico,Luiz Fernando Iubel,1.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
80,Corinthians,Técnico,António Oliveira,4.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,1,0
81,Vasco,Meia,Adson,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Grêmio,1,0
82,Palmeiras,Meia,Fabinho,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
83,Fluminense,Zagueiro,Felipe Andrade,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
84,Athlético-PR,Meia,Felipinho,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
85,Juventude,Atacante,Lucas Barbosa,6.4,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Criciúma,0,1
86,Vasco,Meia,Sforza,-0.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Grêmio,1,0
87,Palmeiras,Atacante,Flaco López,-0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Vitória,0,1
88,Fluminense,Atacante,Marquinhos,5.6,1,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,Bragantino,1,0
89,São Paulo,Meia,Pablo Maia,5.0,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
90,Grêmio,Meia,Du Queiroz,4.1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,1
91,Bragantino,Zagueiro,Douglas Mendes,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
92,Palmeiras,Zagueiro,Naves,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
93,Palmeiras,Atacante,Endrick,5.4,1,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,Vitória,0,1
94,Flamengo,Meia,Victor Hugo,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,0,1
95,Vitória,Atacante,Zé Hugo,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
96,Botafogo,Lateral,Cuiabano,6.2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cruzeiro,0,1
97,Fortaleza,Meia,Hércules,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo,0,1
98,Bragantino,Atacante,Thiago Borbas,10.1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fluminense,0,1
99,São Paulo,Meia,Galoppo,1.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
100,Atlético-GO,Atacante,Alejo Cruz,0.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Flamengo,1,0
101,Corinthians,Meia,Garro,5.6,1,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Atlético-MG,1,0
102,Bragantino,Técnico,Pedro Caixinha,5.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
103,Corinthians,Atacante,Wesley,4.9,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,1,0
104,Vasco,Meia,Mateus Carvalho,10.2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
105,Flamengo,Meia,Lorran,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,0,1
106,Bragantino,Meia,Gustavinho,0.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,Fluminense,0,1
107,Internacional,Atacante,Lucca,0.7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bahia,1,0
108,Vasco,Atacante,Rayan,4.1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Grêmio,1,0
109,Atlético-GO,Atacante,Emiliano Rodríguez,2.9,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,Flamengo,1,0
110,Bahia,Meia,Cauly,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
111,Grêmio,Lateral,Zé Guilherme,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,1
112,Bragantino,Atacante,Henry Mosquera,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,0,1
113,Internacional,Meia,Gustavo Prado,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
114,Cuiabá,Zagueiro,Allyson,2.4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
115,Botafogo,Lateral,Mateo Ponte,4.1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,0,1
116,Grêmio,Atacante,Nathan Fernandes,2.9,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
117,Fluminense,Atacante,Kauã Elias,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
118,Athlético-PR,Meia,Zapelli,4.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Cuiabá,1,0
119,Grêmio,Atacante,Gustavo Nunes,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
120,Cuiabá,Atacante,Derik Lacerda,2.6,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Athlético-PR,0,1
121,Cruzeiro,Atacante,Barreal,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
122,Corinthians,Meia,Igor Coronado,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,1,0
123,Cruzeiro,Técnico,Fernando Seabra,5.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
124,Botafogo,Técnico,Artur Jorge,4.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,0,1
125,São Paulo,Atacante,William Gomes,2.1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fortaleza,1,0
126,Palmeiras,Atacante,Estêvão,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
127,Vasco,Meia,JP,2.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
128,Atlético-GO,Atacante,Max,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,1,0
129,São Paulo,Atacante,André Silva,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
130,Vitória,Técnico,Léo Condé,2.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
131,Fluminense,Goleiro,Fábio,4.0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,Bragantino,1,0
132,Athlético-PR,Zagueiro,Thiago Heleno,4.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
133,Fluminense,Lateral,Marcelo,6.7,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Bragantino,1,0
134,Fluminense,Zagueiro,Felipe Melo,1.5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bragantino,1,0
135,Juventude,Meia,Nenê,1.9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,Criciúma,0,1
136,Atlético-MG,Atacante,Hulk,-0.2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,1,Corinthians,0,1
137,Atlético-MG,Meia,Alan Franco,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,0,1
138,Grêmio,Técnico,Renato Gaúcho,2.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,1
139,Vitória,Atacante,Osvaldo,2.2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,1,0
140,Cruzeiro,Goleiro,Cássio,3.0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
141,Athlético-PR,Técnico,Cuca,10.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,1,0
142,Corinthians,Lateral,Fagner,5.2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Atlético-MG,1,0
143,Flamengo,Técnico,Tite,4.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,0,1
144,Fortaleza,Zagueiro,Titi,-0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo,0,1
145,Cuiabá,Goleiro,Walter,1.0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,Athlético-PR,0,1
146,Bahia,Meia,Everton Ribeiro,5.1,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,Internacional,0,1
147,Internacional,Meia,Fernando,8.8,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Bahia,1,0
148,Juventude,Atacante,Gilberto,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criciúma,0,1
149,Fluminense,Atacante,Douglas Costa,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Bragantino,1,0
150,Fluminense,Meia,Ganso,11.7,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
151,São Paulo,Goleiro,Rafael,-2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Fortaleza,1,0
152,Fortaleza,Atacante,Marinho,0.6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,São Paulo,0,1
153,Criciúma,Meia,Marquinhos Gabriel,1.6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Juventude,1,0
154,Fortaleza,Meia,Lucas Sasha,6.0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,1
155,São Paulo,Meia,James Rodríguez,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,1,0
156,Atlético-MG,Atacante,Vargas,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,0,1
157,Athlético-PR,Atacante,Pablo,9.4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Cuiabá,1,0
158,Grêmio,Atacante,João Pedro Galvão,0.7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Vasco,0,1
159,Grêmio,Atacante,Diego Costa,1.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,1
160,Grêmio,Goleiro,Marchesín,-1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Vasco,0,1
161,Bragantino,Atacante,Eduardo Sasha,13.5,1,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Fluminense,0,1
162,Juventude,Goleiro,Gabriel,0.5,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,Criciúma,0,1
163,Cuiabá,Zagueiro,Marllon,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,0,1
164,Internacional,Meia,Bruno Henrique,6.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
165,Juventude,Meia,Jean Carlos,9.3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Criciúma,0,1
166,Atlético-GO,Zagueiro,Pedro Henrique,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,1,0
167,Palmeiras,Goleiro,Weverton,10.0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,1
168,Bahia,Lateral,Santiago Arias,2.8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Internacional,0,1
169,Atlético-MG,Goleiro,Everson,6.5,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,Corinthians,0,1
170,Fluminense,Técnico,Fernando Diniz,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
171,Atlético-GO,Lateral,Maguinho,3.4,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,Flamengo,1,0
172,Athlético-PR,Meia,Fernandinho,10.5,1,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,1,0
173,Internacional,Zagueiro,Mercado,1.9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,Bahia,1,0
174,Fluminense,Lateral,Samuel Xavier,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,1,0
175,Criciúma,Zagueiro,Walisson Maia,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,1,0
176,Botafogo,Goleiro,Gatito Fernández,0.0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,Cruzeiro,0,1
177,Bahia,Atacante,Everaldo,-1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Internacional,0,1
178,Corinthians,Zagueiro,Gustavo Henrique,7.0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,Atlético-MG,1,0
179,Internacional,Lateral,Renê,10.8,1,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
